ID,Task,Status,Priority,Date Submitted,Due Date
Task-1101,Attend HSA Kids Orientation,Open,High,2025-08-07,2025-08-15
Task-1100,Website performance degradation,Closed,Low,2023-06-06 00:00:00,2025-08-15
Task-1099,Collaboration tool not sending notifications,In Progress,Medium,2023-07-15 00:00:00,2025-08-15
Task-1098,System updates causing compatibility issues,Closed,Medium,2023-11-15 00:00:00,2025-08-15
Task-1097,Database connection failure,Closed,High,2023-08-23 00:00:00,2025-08-15
Task-1096,Security vulnerability identified,Open,Medium,2023-08-29 00:00:00,2025-08-15
Task-1095,Website performance degradation,Closed,Medium,2023-06-27 00:00:00,2025-08-15
Task-1094,Customer data not loading in CRM,Open,Low,2023-06-24 00:00:00,2025-08-15
Task-1093,Database connection failure,Closed,Low,2023-11-05 00:00:00,2025-08-15
Task-1092,Database connection failure,In Progress,Low,2023-07-23 00:00:00,2025-08-15
Task-1091,Email server downtime,Closed,Low,2023-11-25 00:00:00,2025-08-15
Task-1090,Security vulnerability identified,Open,High,2023-10-05 00:00:00,2025-08-15
Task-1089,Printer not responding to print commands,Open,Low,2023-11-09 00:00:00,2025-08-15
Task-1088,Software application crashing on startup,In Progress,Medium,2023-06-20 00:00:00,2025-08-15
Task-1087,Mobile application not syncing data,Closed,High,2023-11-26 00:00:00,2025-08-15
Task-1086,Login authentication problems,Closed,Medium,2023-06-25 00:00:00,2025-08-15
Task-1085,Software application crashing on startup,In Progress,Medium,2023-09-11 00:00:00,2025-08-15
Task-1084,Network connectivity issues in the office,Closed,Medium,2023-08-07 00:00:00,2025-08-15
Task-1083,Mobile application not syncing data,Closed,Low,2023-10-29 00:00:00,2025-08-15
Task-1082,Mobile application not syncing data,Open,Low,2023-08-28 00:00:00,2025-08-15
Task-1081,Intrusion detection system alerts,Closed,High,2023-08-24 00:00:00,2025-08-15
Task-1080,Employee unable to access shared files,Closed,High,2023-10-14 00:00:00,2025-08-15
Task-1079,File server running out of storage space,In Progress,Low,2023-08-30 00:00:00,2025-08-15
Task-1078,System updates causing compatibility issues,In Progress,Medium,2023-08-30 00:00:00,2025-08-15
Task-1077,System updates causing compatibility issues,Open,High,2023-11-25 00:00:00,2025-08-15
Task-1076,Customer data not loading in CRM,Closed,Low,2023-11-29 00:00:00,2025-08-15
Task-1075,Mobile application not syncing data,Closed,Low,2023-07-11 00:00:00,2025-08-15
Task-1074,Collaboration tool not sending notifications,Closed,Low,2023-11-30 00:00:00,2025-08-15
Task-1073,Printer not responding to print commands,Open,Medium,2023-07-13 00:00:00,2025-08-15
Task-1072,Data backup failure,Open,Low,2023-09-24 00:00:00,2025-08-15
Task-1071,Customer data not loading in CRM,In Progress,Low,2023-11-13 00:00:00,2025-08-15
Task-1070,Website performance degradation,Open,Low,2023-08-05 00:00:00,2025-08-15
Task-1069,Hardware malfunction in the server room,Closed,Low,2023-11-08 00:00:00,2025-08-15
Task-1068,Website performance degradation,Closed,High,2023-11-04 00:00:00,2025-08-15
Task-1067,Inventory management system errors,Open,High,2023-08-12 00:00:00,2025-08-15
Task-1066,Email server downtime,Closed,Low,2023-08-07 00:00:00,2025-08-15
Task-1065,VPN connection problems for remote employees,Closed,Medium,2023-08-25 00:00:00,2025-08-15
Task-1064,Inventory management system errors,Open,High,2023-06-18 00:00:00,2025-08-15
Task-1063,Hardware malfunction in the server room,Open,Low,2023-07-09 00:00:00,2025-08-15
Task-1062,Software application crashing on startup,Closed,High,2023-10-30 00:00:00,2025-08-15
Task-1061,Collaboration tool not sending notifications,Closed,High,2023-11-12 00:00:00,2025-08-15
Task-1060,System updates causing compatibility issues,Closed,Medium,2023-10-15 00:00:00,2025-08-15
Task-1059,Website performance degradation,In Progress,Low,2023-08-14 00:00:00,2025-08-15
Task-1058,Mobile application not syncing data,In Progress,Low,2023-07-11 00:00:00,2025-08-15
Task-1057,Security vulnerability identified,In Progress,Medium,2023-06-05 00:00:00,2025-08-15
Task-1056,System updates causing compatibility issues,Open,Medium,2023-09-01 00:00:00,2025-08-15
Task-1055,Printer not responding to print commands,In Progress,Low,2023-11-13 00:00:00,2025-08-15
